Название товара или услуги,Цена продажи,Краткое описание,Изображения,Размещение на сайте,old url,Свойство:РАЗМЕР
Рубашка - Затмение. Чёрная,"9200,00.","
						<span class=""value"" itemprop=""description""><p>Оверсайз рубашка из хлопка, на спине находится сложная вышивка в виде концентрического узора, напоминающего цветок или звезду, выполненная черными нитями вручную.&nbsp; Ткань выглядит мягкой и слегка помятой, что придает изделию непринужденный и стильный вид.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_3770_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3769.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3754.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3753.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3767.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/rubashka-zatmenie-chjornaja.html,M
Худи - Чёрный поток,"6500,00.","
						<span class=""value"" itemprop=""description""><p>Худи из плотного хлопка с деконструктивными элементами</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5247_3.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5244_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5250_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5246_1_1.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/drkflow.html,S
Худи - Чёрный поток,"6500,00.","
						<span class=""value"" itemprop=""description""><p>Худи из плотного хлопка с деконструктивными элементами</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5247_3.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5244_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5250_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5246_1_1.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/drkflow.html,M
Худи - Чёрный поток,"6500,00.","
						<span class=""value"" itemprop=""description""><p>Худи из плотного хлопка с деконструктивными элементами</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5247_3.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5244_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5250_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5246_1_1.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/drkflow.html,L
Рубашка - Затмение. Серо-голубая,"12500,00.","
						<span class=""value"" itemprop=""description""><p>Серо-голубая&nbsp;оверсайз рубашка из хлопка, на спине находится сложная вышивка в виде концентрического узора, напоминающего цветок или звезду, выполненная черными нитями вручную.&nbsp; Ткань выглядит мягкой и слегка помятой, что придает изделию непринужденный и стильный вид.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0057_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0059.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/rubashka-zatmenie-sero-golubaja.html,M
Лонгслив - Рассвет над океаном,"8500,00.","
						<span class=""value"" itemprop=""description""><p>Лонгслив из нежного Балийского хлопка, созданный в уникальном экспериментальном формате. Изделие подвергается ручной обработке мачете прямо в океане, что придает ему неповторимый и дерзкий вид. Этот лонгслив сочетает в себе мягкость и комфорт натурального хлопка с авангардным дизайном, создавая эффектный образ.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0051_1_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_2035_2.jpg, https://pirosmani.info/media/catalog/product/i/m/img_2037_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_2039_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_2041_1.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/longsliv-rassvet-nad-okeanom.html,M
Лонгслив - Блики на океанском дне,"6500,00.","
						<span class=""value"" itemprop=""description""><p>Лонгслив из мягкого хлопка, выполенный в технике тай-дай.&nbsp;</p>
<p>&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0022_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_9026.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/longsliv-bliki-na-okeanskom-dne.html,L
Лонгслив - Вихри небес,"5500,00.","
						<span class=""value"" itemprop=""description""><p>Уникальный лонгслив с капюшоном, выполненный из высококачественного хлопка,&nbsp;отличается оригинальным дизайном с ручным окрашиванием, создающим эффект вихрей на небесах.&nbsp;Основной цвет изделия – серый с плавными переходами и легкими оттенками белого и черного, что придает ему загадочный и динамичный вид.</p>
<p>&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0017_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_8987.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8992.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8959.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/longsliv-vihri-nebes.html,XS
Шорты - Летний хлопок,"4000,00.","
						<span class=""value"" itemprop=""description""><p>Хлопковые летние шорты идеально подойдут для жарких дней благодаря своему легкому и дышащему материалу.&nbsp; Выполнены в универсальном черном цвете и имеют свободный крой, обеспечивающий максимальный комфорт и свободу движений. Шорты оснащены эластичной резинкой на талии, что позволяет им удобно сидеть на фигуре и легко надеваться. Также они имеют два боковых кармана, которые добавляют практичности и функциональности.</p>
<p>&nbsp;</p></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/shorty-letnij-hlopok.html,null
Мужская рубашка - Фудзияма. Чёрная,"5000,00.","
						<span class=""value"" itemprop=""description""><p>Черная рубашка из легкого хлопка — воплощение современного минимализма и изысканности.</p>
<p>Выполнена из легкой, полупрозрачной ткани, что придает ей воздушность и легкость. Структурированный крой с асимметричными элементами и свободными завязками создает эффект непринужденной элегантности, идеально подходящий для уверенной в себе женщины, которая ценит уникальность и стиль. Высокий воротник-стойка добавляет нотку строгости и утонченности, в то время как свободные рукава и небрежные детали придают образу динамичность и современность.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8543_2_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8535_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8537_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8543_2_2.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskaja-rubashka-fudzijama-chjornaja.html,XS
Мужская рубашка - Фудзияма. Чёрная,"5000,00.","
						<span class=""value"" itemprop=""description""><p>Черная рубашка из легкого хлопка — воплощение современного минимализма и изысканности.</p>
<p>Выполнена из легкой, полупрозрачной ткани, что придает ей воздушность и легкость. Структурированный крой с асимметричными элементами и свободными завязками создает эффект непринужденной элегантности, идеально подходящий для уверенной в себе женщины, которая ценит уникальность и стиль. Высокий воротник-стойка добавляет нотку строгости и утонченности, в то время как свободные рукава и небрежные детали придают образу динамичность и современность.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8543_2_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8535_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8537_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8543_2_2.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskaja-rubashka-fudzijama-chjornaja.html,S
Мужская рубашка - Фудзияма. Чёрная,"5000,00.","
						<span class=""value"" itemprop=""description""><p>Черная рубашка из легкого хлопка — воплощение современного минимализма и изысканности.</p>
<p>Выполнена из легкой, полупрозрачной ткани, что придает ей воздушность и легкость. Структурированный крой с асимметричными элементами и свободными завязками создает эффект непринужденной элегантности, идеально подходящий для уверенной в себе женщины, которая ценит уникальность и стиль. Высокий воротник-стойка добавляет нотку строгости и утонченности, в то время как свободные рукава и небрежные детали придают образу динамичность и современность.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8543_2_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8535_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8537_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8543_2_2.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskaja-rubashka-fudzijama-chjornaja.html,M
Мужские шорты - Серый классик,"5000,00.","
						<span class=""value"" itemprop=""description""><p>Мужские серые классические шорты выполнены из высококачественного хлопка с добавлением эластана, что обеспечивает комфорт и свободу движений. Модель отличается элегантным дизайном с прямым кроем и средней длиной до колена. Шорты имеют классическую посадку на талии и оснащены боковыми карманами для удобства. Приятный серый цвет делает их универсальным элементом гардероба, подходящим как для повседневного ношения, так и для более формальных случаев. Идеально сочетаются с футболками и рубашками различных оттенков.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8060_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8066.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8065.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8064.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8062.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8073.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-shorty-seryj-klassik.html,S
Мужские шорты - Серый классик,"5000,00.","
						<span class=""value"" itemprop=""description""><p>Мужские серые классические шорты выполнены из высококачественного хлопка с добавлением эластана, что обеспечивает комфорт и свободу движений. Модель отличается элегантным дизайном с прямым кроем и средней длиной до колена. Шорты имеют классическую посадку на талии и оснащены боковыми карманами для удобства. Приятный серый цвет делает их универсальным элементом гардероба, подходящим как для повседневного ношения, так и для более формальных случаев. Идеально сочетаются с футболками и рубашками различных оттенков.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8060_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8066.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8065.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8064.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8062.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8073.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-shorty-seryj-klassik.html,M
