Название товара или услуги,Цена продажи,Полное описание,Изображения,Размещение на сайте,old url,Свойство:РАЗМЕР
Лонгслив - Блики на океанском дне,"6500,00.","
						<span class=""value"" itemprop=""description""><p>Лонгслив из мягкого хлопка, выполенный в технике тай-дай.&nbsp;</p>
<p>&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0022_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_9026.jpeg",Каталог/Мужчинам/Новые поступленияМужчинам/НовинкиМужчинам/ЛонгсливыЖенщинам/Новые поступленияЖенщинам/НовинкиЖенщинам/Лонгсливы,https://pirosmani.info/longsliv-bliki-na-okeanskom-dne.html,L
Лонгслив - Вихри небес,"5500,00.","
						<span class=""value"" itemprop=""description""><p>Уникальный лонгслив с капюшоном, выполненный из высококачественного хлопка,&nbsp;отличается оригинальным дизайном с ручным окрашиванием, создающим эффект вихрей на небесах.&nbsp;Основной цвет изделия – серый с плавными переходами и легкими оттенками белого и черного, что придает ему загадочный и динамичный вид.</p>
<p>&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0017_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_8987.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8992.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8959.jpeg",Каталог/Мужчинам/Новые поступленияМужчинам/НовинкиМужчинам/ЛонгсливыЖенщинам/Новые поступленияЖенщинам/НовинкиЖенщинам/Лонгсливы,https://pirosmani.info/longsliv-vihri-nebes.html,XS
Шорты - Летний хлопок,"4000,00.","
						<span class=""value"" itemprop=""description""><p>Хлопковые летние шорты идеально подойдут для жарких дней благодаря своему легкому и дышащему материалу.&nbsp; Выполнены в универсальном черном цвете и имеют свободный крой, обеспечивающий максимальный комфорт и свободу движений. Шорты оснащены эластичной резинкой на талии, что позволяет им удобно сидеть на фигуре и легко надеваться. Также они имеют два боковых кармана, которые добавляют практичности и функциональности.</p>
<p>&nbsp;</p></span>
		",,Каталог/Мужчинам/Новые поступленияМужчинам/НовинкиМужчинам/Штаны/ШортыЖенщинам/Новые поступленияЖенщинам/НовинкиЖенщинам/Штаны/Шорты,https://pirosmani.info/shorty-letnij-hlopok.html,null
Мужские брюки - Хондэ Лайт,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, минималистичные брюки из натурального, лёгкого хлопка. Идеально подходят для летней погоды.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6251.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6232.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6228.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6194_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6252.jpeg",Каталог/Мужчинам/Новые поступленияМужчинам/НовинкиМужчинам/Штаны/Шорты,https://pirosmani.info/muzhskie-brjuki-hondje-lajt.html,S
Мужские брюки - Хондэ Лайт,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, минималистичные брюки из натурального, лёгкого хлопка. Идеально подходят для летней погоды.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6251.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6232.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6228.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6194_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6252.jpeg",Каталог/Мужчинам/Новые поступленияМужчинам/НовинкиМужчинам/Штаны/Шорты,https://pirosmani.info/muzhskie-brjuki-hondje-lajt.html,M
Мужские брюки - Хондэ Лайт,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, минималистичные брюки из натурального, лёгкого хлопка. Идеально подходят для летней погоды.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6251.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6232.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6228.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6194_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6252.jpeg",Каталог/Мужчинам/Новые поступленияМужчинам/НовинкиМужчинам/Штаны/Шорты,https://pirosmani.info/muzhskie-brjuki-hondje-lajt.html,L
Мужские брюки - Хондэ Лайт,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, минималистичные брюки из натурального, лёгкого хлопка. Идеально подходят для летней погоды.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6251.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6232.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6228.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6194_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6252.jpeg",Каталог/Мужчинам/Новые поступленияМужчинам/НовинкиМужчинам/Штаны/Шорты,https://pirosmani.info/muzhskie-brjuki-hondje-lajt.html,XL
Мужские брюки - Серый Хондэ,"12000,00.","
						<span class=""value"" itemprop=""description""><p>Широкие брюки из натурального хлопка</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_02781.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_02921.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_02811.jpeg",Каталог/Мужчинам/Новые поступленияМужчинам/НовинкиМужчинам/Штаны/Шорты,https://pirosmani.info/muzhskie-brjuki-seryj-hondje.html,S
Подарочный сертификат,"2000,00.","
						<span class=""value"" itemprop=""description""><p>Подарочный сертификат PIROSMANI можно выбрать в электронном или физическом виде</p>
<p>Маленькое произведение искусства, выполнен вручную, как художественный принт, на плотном, тяжёлом картоне и является мини картиной. Серитификат запакован в чёрный конверт. При обмене сертификата на одежду в нашей студии, саму мини картину можно не отдавать и при желании оставить себе на память.</p>
<p>&nbsp;</p>
<p>XS - 2000₽</p>
<p>S - 5000₽</p>
<p>М -7000₽</p>
<p>L - 10000₽</p>
<p>XL - 15000₽</p>
<p>&nbsp;</p>
<p>ВК49865</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_9866_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_9854_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_9856_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_9853_2.jpg",Каталог/Мужчинам/Подарочный сертификатМужчинам/Шапки/ШарфыЖенщинам/Подарочный сертификатЖенщинам/Шапки/Шарфы,https://pirosmani.info/podarochnyj-sertifikat.html,XS
Подарочный сертификат,"2000,00.","
						<span class=""value"" itemprop=""description""><p>Подарочный сертификат PIROSMANI можно выбрать в электронном или физическом виде</p>
<p>Маленькое произведение искусства, выполнен вручную, как художественный принт, на плотном, тяжёлом картоне и является мини картиной. Серитификат запакован в чёрный конверт. При обмене сертификата на одежду в нашей студии, саму мини картину можно не отдавать и при желании оставить себе на память.</p>
<p>&nbsp;</p>
<p>XS - 2000₽</p>
<p>S - 5000₽</p>
<p>М -7000₽</p>
<p>L - 10000₽</p>
<p>XL - 15000₽</p>
<p>&nbsp;</p>
<p>ВК49865</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_9866_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_9854_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_9856_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_9853_2.jpg",Каталог/Мужчинам/Подарочный сертификатМужчинам/Шапки/ШарфыЖенщинам/Подарочный сертификатЖенщинам/Шапки/Шарфы,https://pirosmani.info/podarochnyj-sertifikat.html,S
