Название товара или услуги,Цена продажи,Артикул,Параметр: Совместимость:,Дополнительне поле: Установка в штатные места,Дополнительне поле: Комплектность,Изображения,Размещение на сайте,old url,Полное описание,Краткое описание,Дополнительне поле: Нужно клеить,Дополнительне поле: Гарантия
Переходник для колонок Лада Веста (ZRS-AG-22),"",Код товара: GS-605," Nissan Murano, новый Renault Logan. Некоторые другие авто альянса Renault-Nissan",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: 1 переходник,"https://granves-shop.ru/images/photos/medium/shop1091-3.jpg, https://granves-shop.ru/images/photos/medium/shop1091-4.jpg, https://granves-shop.ru/images/photos/medium/shop1091-5.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/perehodnik-dlja-kolonok-lada-vesta-zrs-ag-22.html,"<p>Обновляя аудиосистему автомобиля, вы быстро убедитесь, что переходник для колонок Лада Веста ZRS AG 22 — полезный атрибут, способный ускорить монтажные работы. Компактный адаптер можно заказывать по артикулу CT55 17. Он позволяет надежно и без дополнительных мероприятий выполнить подключение колонок, сабвуфера, других элементов мультимедийного комплекса. Благодаря переходнику разъема динамиков ZRS AG 22, не придется паять кабели, подбирать дополнительные штекеры. Перед тем как купить ZRS AG 22, можно изучить отзывы о товаре, задать вопросы менеджеру.</p>
<p>&nbsp,</p>
<h2>Особенности, свойства</h2>
<p>Представленный в каталоге адаптер является разъемом европейского стандарта. В конструкцию автомобиля Lada Vesta переходник ZRS AG 22 «добавили» из Renault Logan. Для подключения к проводке предусмотрены специальные зажимы универсального типа. Металлические клеммы обеспечивают легкий и быстрый монтаж.</p>
<p>Купить ZRS AG 22 или CT55 17 можно с доставкой, дополнительно подобрав другие комплектующие элементы. В магазине Гранвес Шоп представлен большой выбор востребованных товаров популярных брендов.</p>",,,
Mini ISO RCA переходник для магнитолы на Лада Веста,"",Код товара: ZRS-ISO-3,"Лада Веста, Гранта, Калина, Приора 2",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Переходник - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop1204-2.jpg, https://granves-shop.ru/images/photos/medium/shop1204-3.jpg, https://granves-shop.ru/images/photos/medium/shop1204-4.jpg, https://granves-shop.ru/images/photos/medium/shop1204-5.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/mini-iso-rca-perehodnik-dlja-magnitoly-na-lada-vesta.html,"<p>ISO переходник для магнитолы Лада Веста.</p>
<p>&nbsp,</p>
<p>Артикул: ZRS-ISO-3</p>
<p>Цена:&nbsp,за 1 шт.</p>
<p>&nbsp,</p>
<p>Переходник ISO&nbsp,для магнитолы автомобилей Лада Веста,&nbsp,Гранта / Гранта FL,&nbsp,Калина :&nbsp,MINI&nbsp,ISO&nbsp,RCA&nbsp,(iso-003). </p>
<p>Данный продукт предназначен для подключения линейных выходов, а также имеет отдельный канал на усилитель.</p>
<p>Отличный помощник для подключения сабвуфера в вашем транспортном средстве Lada.</p>
<p>&nbsp,</p>
<p><strong>Обозначение и маркировка:&nbsp,</strong></p>
<ul>
    <li>Фронт (левый / правый)&nbsp,с маркировкой FL OUT и FR OUT, </li>
    <li>Тыл (левый / правый)&nbsp,с  маркировкой RL OUT и RR OUT,</li>
    <li>Усилитель с маркировкой SUB.</li>
</ul>",,,
"Комплект проводки для подключения пищалок на Лада Веста, Веста NG","",Код товара: M02VS2100376,"Лада Веста (2015-2022), ##Лада Веста NG (2022-)##Лада Х Рей - НЕ ПОДОЙДЕТ !",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: переходники - 2 шт.,"https://granves-shop.ru/images/photos/medium/shop2588-11.jpg, https://granves-shop.ru/images/photos/medium/shop2588-12.jpg, https://granves-shop.ru/images/photos/medium/shop2588-13.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники##Главная → Автосвет, электрика и звук → Динамики и пищалки, проставки",https://granves-shop.ru/shop/osveschenie-i-yelektrika/dinamiki-i-pischalki-prostavki/komplekt-provodki-dlja-podklyuchenija-pischalok-na-lada-vesta.html,"<p>Комплект проводки для подключения <a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/pischalki-v-lada-vesta-281489095r.html"">твитеров (пищалок)</a> на Лада Веста,&nbsp,Веста NG</p>
<p>&nbsp,</p>
<p>Артикул: M02VS2100376</p>
<p>Комплект: 2 переходника (на 2 передние двери)</p>
<p>Цена: за комплект</p>
<p>&nbsp,</p>
<p>Подробнее:&nbsp,</p>
<p>К сожалению, ни все комплектации автомобилей Лада Веста снабжены <a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/pischalki-v-lada-vesta-281489095r.html"">твитерами </a>в передних дверях. Готовы предложить готовое решение, при котором Вы сможете установить <a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/pischalki-v-lada-vesta-281489095r.html"">твитеры </a>самостоятельно на свой автомобиль не повредив штатную проводку и сохранить гарантию у официального дилера.</p>
<p>Установка осуществляется по штатным разъемам: разъёмы штатных колонок с ответвлением на твитер и разъёмом для твитера (аналог штатного).</p>
<p>&nbsp,</p>
<p><a href=""https://yadi.sk/i/3FIS-kZMsNOdgA"">Инструкция по подключению</a></p>
<p>&nbsp,</p>
<p><span style=""color: rgb(255, 0, 0),""><strong>Обратите внимание!</strong></span></p>
<p><strong>На автомобилях 2021г. изменилась конструкция и динамики перевернули.</strong><strong>&nbsp, </strong><strong>Подробнее можно посмотреть в ""<a href=""https://yadi.sk/i/AMAdRPwPuUK-KQ""><span style=""color: rgb(255, 0, 0),"">сравнении</span></a>"" старого образца (2015-2020 г.в) и нового.<br>
</strong></p>
<p>&nbsp,</p>
<p><strong>Внимание! Встречаются очередные изменения в панели двери (отсутствие отверстия) на авто декабрь 2021 года, как на фото (по авто с более ранней датой нет информации).</strong></p>
<p><strong><img src=""/images/screenshot-2022-02-02-at-16-53-01-vnimanie-izmenenija-dekabr-2021-pdf.jpg"" alt="""" width=""313"" height=""480""></strong></p>
<div class=""glass_3BtjNzgiaU25Dl93_oGNS2"">
<div>В случае отсутствия данного отверстия (место обведено кругом) предлагается как вариант использование другого отверстия, в которое помещена клипса крепления штатного провода динамика (обведено квадратом). Для её извлечения необходимо изполости двери (изнутри) сжать лепестки (на фото самая верхняя клипса (обведена овалом) аналогична извлекаемой). В освободившееся отверстие вставить разъем с клипсой из комплекта и далее закрепить штатный провод к закрепленному проводу.</div>
</div>",,,
Переходник ISO ANT-1 антенны для Лада Х Рей Лада Веста,"",Код товара: ANT-1,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Переходник - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop1165-1.jpg, https://granves-shop.ru/images/photos/medium/shop1165-2.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/perehodnik-iso-ant-1-antenny-dlja-lada-h-rei-lada-vesta.html,"<p>Переходник ISO ANT-1 антенны для Лада Х Рей и Лада Веста Это очень удобный адаптер, который позволяет легко и просто подключить антенну к магнитоле</p>
<p>Похожий товар:</p>
<p><a href=""/shop/dopolnitelnoe-oborudovanie/aktivnaja-antenna-plavnik-na-lada-vesta.html"">Активная антенна плавник на Лада Веста</a></p>",,,
Canbus адаптер для магнитолы Лада Веста на Android,"",Код товара: VS-CAMV, Лада Веста (все модели),Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Адаптер-переходник Canbus,"https://granves-shop.ru/images/photos/medium/shop2326-1.jpg, https://granves-shop.ru/images/photos/medium/shop2326-2.jpg, https://granves-shop.ru/images/photos/medium/shop2326-3.jpg, https://granves-shop.ru/images/photos/medium/shop2326-4.jpg, https://granves-shop.ru/images/photos/medium/shop2326-5.jpg, https://granves-shop.ru/images/photos/medium/shop2326-6.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/canbus-adapter-dlja-magnitoly-lada-vesta-na-android.html,"<p>Если в Вашей комплектации автомобиля установлена задняя камера с динамическими линиями, то данный переходник Вам понадобится при использовании <a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/magnitola-2din-dlja-lada-vesta-teyes-9-dyuimov-na-android.html"">этой магнитолы на Android</a>.<br>
Данный переходник многофункциональный..<br>
<br>
При подключение адаптера Canbus v1.0 расширяются возможности использования магнитолы:<br>
- отображение климат контроля,<br>
- открытие дверей,<br>
- динамическая разметка заднего хода,<br>
- бортовой компьютер.</p>
<p>&nbsp,</p>
<p>&nbsp,</p>
<p>Похожие товары:&nbsp,</p>
<p><a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/adapter-dlja-magnitoly-canbus-teyes-v1-1-lada-vesta.html"">Адаптер для магнитолы Canbus Teyes v1.1 Лада Веста (с приложением в комплекте)</a></p>
<p><br>
<br>
<span style=""font-size: medium,"">Подробнее посмотреть можно на видео, как это работает:</span></p>
<p><iframe src=""https://www.youtube.com/embed/x5bWsykr7U8"" allow=""accelerometer, autoplay, encrypted-media, gyroscope, picture-in-picture"" allowfullscreen="""" width=""560"" height=""315"" frameborder=""0""></iframe></p>",,,
Проводка для подключения мультируля Лада Веста (универсальная),"",Код товара: VS-PPMR_LV_U, Лада Веста (седан/универсал),Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,"Поставщик заявил следующую комплектность: Провод, разъем, зажимы","https://granves-shop.ru/images/photos/medium/shop2298-4.jpg, https://granves-shop.ru/images/photos/medium/shop2298-5.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/provodka-dlja-podklyuchenija-multirulja-lada-vesta-universalnaja.html,"<p>Представляем Вашему вниманию универсальный бюджетный вариант проводки для подключения мультируля в автомобиль Лада Веста. Такой комплект будет актуален для бюджетных комплектаций автомобиля Лада Веста для самостоятельной установки.</p>
<p><strong>Схемы подключения в комплекте нет.&nbsp,</strong><br>
<br>
&nbsp,</p>
<p>&nbsp,</p>
<p>Так же Вам может понадобиться:<br>
<a href=""https://granves-shop.ru/shop/salon/multirul-dlja-lada-vesta.html"">Мультируль</a><br>
<a href=""https://granves-shop.ru/shop/salon/ulitka-multirulja-soedinitel-podrulevyh-pereklyuchatelei-lada-vesta-h-rei.html"">Улитка мультируля</a><br>
<a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/razem-provodki-multirulja-lada-vesta.html""> Разъем для проводки подключения мультируля</a><a href=""https://granves-shop.ru/shop/salon/ulitka-multirulja-soedinitel-podrulevyh-pereklyuchatelei-lada-vesta-h-rei.html""><br>
</a></p>","Внимание! Срок поставки этой позиции может отличаться от стандартного и составлять до <span style=""color: red"">7</span> рабочих дней<br><font size=""1"">При отстутствии товара на основном складе цена может измениться и подлежит уточнению!</font>",,
Антенна с основанием и GPS в сборе Лада Веста,"",Код товара: 8450007952," Лада Веста, Лада Веста Кросс",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: 1 антенна,"https://granves-shop.ru/images/photos/medium/shop1731-4.jpg, https://granves-shop.ru/images/photos/medium/shop1731-5.jpg, https://granves-shop.ru/images/photos/medium/shop1731-6.jpg, https://granves-shop.ru/images/photos/medium/shop1731-7.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/antenna-s-osnovaniem-i-gps-v-sbore-lada-vesta.html,"<p>Антенна с основанием и GPS в сборе Лада Веста</p>
<p>Поставляется аналог отличного качества, отличий от оригинала нет.&nbsp,</p>
<p>Арт. оригинала : 8450007952</p>
<p><strong>На данной антене могут иметься потертости, поэтому если вы хотите прямо новую в заводской упаковке оригинальную антенну.<br>
То вы можете указать это в комментарии, она будет чуть дороже, зато иметь идеальный внешний вид.</strong></p>
<p>Похожие товары:</p>
<p><a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenna-korotkaja-renault-original-8200500322-sht.html""> Антенна короткая Renault оригинал 8200500322 (шт)</a></p>
<p><a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/perehodnik-iso-ant-1-antenny-dlja-lada-h-rei-lada-vesta.html"">Переходник ISO ANT-1 антенны для Лада Х Рей Лада Веста</a></p>
<p><a href=""https://granves-shop.ru/shop/dopolnitelnoe-oborudovanie/aktivnaja-antenna-plavnik-na-lada-vesta.html"">Активная антенна плавник на Лада Веста</a></p>","Внимание! Срок поставки этой позиции может отличаться от стандартного и составлять до <span style=""color: red"">7</span> рабочих дней<br><font size=""1"">При отстутствии товара на основном складе цена может измениться и подлежит уточнению!</font>",,
Адаптер для магнитолы Canbus Teyes v1.1 Лада Веста,"",Код товара: VS-CAMV1,Лада Веста (все модели),Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,"Поставщик заявил следующую комплектность: Canbus v1.1 - 1 шт., приложение - 1 шт.","https://granves-shop.ru/images/photos/medium/shop3243-1.jpg, https://granves-shop.ru/images/photos/medium/shop3243-2.jpg, https://granves-shop.ru/images/photos/medium/shop3243-3.jpg, https://granves-shop.ru/images/photos/medium/shop3243-4.jpg, https://granves-shop.ru/images/photos/medium/shop3243-5.jpg, https://granves-shop.ru/images/photos/medium/shop3243-6.jpg, https://granves-shop.ru/images/photos/medium/shop3243-7.jpg, https://granves-shop.ru/images/photos/medium/shop3243-8.jpg, https://granves-shop.ru/images/photos/medium/shop3243-9.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/adapter-dlja-magnitoly-canbus-teyes-v1-1-lada-vesta.html,"<p>Адаптер для магнитолы Canbus Teyes v1.1 Лада Веста (с приложением в комплекте)</p>
<p>&nbsp,</p>
<p>Артикул: VS-CAMV1</p>
<p>Производитель:&nbsp,Teyes</p>
<p>Версия:&nbsp,1.1</p>
<p>Установка:&nbsp,<a href=""https://yadi.sk/i/0pna-NLl25e00A"">Инструкция</a></p>
<p>В комплекте&nbsp,: Canbus v.1.1 + приложение VESTA&nbsp,INFO</p>
<p>&nbsp,</p>
<p>Новинка от производителя Teyes! Данный продукт был разработан специально для автомобиля Лада Веста. Это уже вторая версия,&nbsp,которая доработана и улучшена, в отличии от предыдущей. Изменен дизайн и полностью интерфейс продукта.</p>
<p>&nbsp,</p>
<p><strong>Функции Canbus v1.1:</strong></p>
<ul>
    <li>Поддерживает отображение всех штатных данных оригинального климат-контроля</li>
    <li>Поддерживает отображение всех световых индикаторов в автомобиле</li>
    <li>Поддерживает отображение скорости движения автомобиля, частоту вращения двигателя, температуру ДВС, индикацию уровня топлива в баке и данные о переключении передач (на АМТ -<strong> на МКПП не поддерживается</strong>)</li>
    <li>Поддерживает отображение напряжения аккумулятора, информацию о состоянии ручного тормоза и ремня безопасности.</li>
    <li>Поддерживает выведение на экран устройства кода неисправности автомобиля</li>
    <li>Поддерживает отображение о напоминание открытых дверей</li>
    <li>Поддерживает динамические разметки линий заднего хода, синхронизированной с вращением рулевого колеса</li>
</ul>
<p>&nbsp,</p>
<p>&nbsp,</p>
<p>В нашем ассортименте так же есть Canbus v.1.0 :&nbsp,<a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/canbus-adapter-dlja-magnitoly-lada-vesta-na-android.html"">Canbus адаптер для магнитолы Лада Веста на Android</a></p>
<p>&nbsp,</p>
<p>Руководство по устройству Teyes ""SPRO"":</p>
<p><img src=""/images/whatsapp-image-2020-12-04-at-08-38-51.jpeg"" alt="""" width=""643"" height=""1669""></p>
<p>&nbsp,</p>",,,
"Антенна акулий плавник Лада Веста СВ, СВ Кросс","",Код товара: 8450031990,"Лада Веста СВ, СВ Кросс",,,"https://granves-shop.ru/images/photos/medium/shop1472-1.jpg, https://granves-shop.ru/images/photos/medium/shop1472-2.jpg, https://granves-shop.ru/images/photos/medium/shop1472-4.jpg, https://granves-shop.ru/images/photos/medium/shop1472-5.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/antenna-akulii-plavnik.html,"<p>Антенна акулий плавник, в цвет автомобиля</p>
<p>&nbsp,</p>
<p>Крышка антенны в сборе № 2 на схеме</p>
<p>арт. 8450031990</p>
<p>&nbsp,Продается без внутренностей, сама антенна не входит</p>
<p>Купить <a href=""https://granves-shop.ru/shop/dopolnitelnoe-oborudovanie/uplotnitel-antenny-lada-vesta-sv-8450032770.html"">уплотнитель антенны Лада Веста СВ 8450032770</a></p>
<p>&nbsp,</p>",,,
"Адаптер рулевого управления Лада Веста, Х Рей","",Код товара: CAN-RL03 PS,"Lada Vesta, Lada X-Ray",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: 1 адаптер,"https://granves-shop.ru/images/photos/medium/shop1567-2.jpg, https://granves-shop.ru/images/photos/medium/shop1567-3.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/adapter-rulevogo-upravlenija-lada-vesta-h-rei.html,"<p>Адаптер рулевого управления Лада Веста, Х Рей</p>
<p>Адаптер предназначен для подключения кнопок руля или штатного джойстика к нештатным головным устройствам с возможностью программирования кнопок руля.<br>
<a href=""https://yadi.sk/i/x7nMKv2-6ihLqg"">Инструкция </a>по установке.</p>",,,
